Activation,Learning Rate,Max Iter,Number Epochs,Num Layers,Train Accuracy,Test Accuracy,Train MSE,Test MSE
logistic,0.01,100,1,2,0.45943562610229277,0.4673721340388007,0.5405643738977073,0.5326278659611993
logistic,0.01,100,2,2,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,3,2,0.5405643738977073,0.5326278659611993,0.45943562610229277,0.4673721340388007
logistic,0.01,100,4,2,0.541005291005291,0.5326278659611993,0.458994708994709,0.4673721340388007
logistic,0.01,100,5,2,0.5423280423280423,0.5343915343915344,0.4576719576719577,0.4656084656084656
logistic,0.01,100,6,2,0.5432098765432098,0.5326278659611993,0.4567901234567901,0.4673721340388007
logistic,0.01,100,7,2,0.544973544973545,0.5326278659611993,0.455026455026455,0.4673721340388007
logistic,0.01,100,8,2,0.5401234567901234,0.5379188712522046,0.45987654320987653,0.4620811287477954
logistic,0.01,100,9,2,0.5361552028218695,0.5432098765432098,0.4638447971781305,0.4567901234567901
logistic,0.01,100,10,2,0.5317460317460317,0.5485008818342152,0.46825396825396826,0.4514991181657848
logistic,0.01,100,11,2,0.5304232804232805,0.54673721340388,0.4695767195767196,0.4532627865961199
logistic,0.01,100,12,2,0.5317460317460317,0.54673721340388,0.46825396825396826,0.4532627865961199
logistic,0.01,100,13,2,0.5339506172839507,0.54673721340388,0.4660493827160494,0.4532627865961199
logistic,0.01,100,14,2,0.5335097001763669,0.54673721340388,0.46649029982363316,0.4532627865961199
logistic,0.01,100,15,2,0.5343915343915344,0.5485008818342152,0.4656084656084656,0.4514991181657848
logistic,0.01,100,16,2,0.5335097001763669,0.54673721340388,0.46649029982363316,0.4532627865961199
logistic,0.01,100,17,2,0.5335097001763669,0.544973544973545,0.46649029982363316,0.455026455026455
logistic,0.01,100,18,2,0.5326278659611993,0.544973544973545,0.4673721340388007,0.455026455026455
logistic,0.01,100,19,2,0.533068783068783,0.544973544973545,0.4669312169312169,0.455026455026455
logistic,0.01,100,20,2,0.5335097001763669,0.544973544973545,0.46649029982363316,0.455026455026455
logistic,0.01,100,21,2,0.5326278659611993,0.5432098765432098,0.4673721340388007,0.4567901234567901
logistic,0.01,100,22,2,0.5321869488536155,0.5414462081128748,0.4678130511463845,0.4585537918871252
logistic,0.01,100,23,2,0.5321869488536155,0.5396825396825397,0.4678130511463845,0.4603174603174603
logistic,0.01,100,24,2,0.5321869488536155,0.5396825396825397,0.4678130511463845,0.4603174603174603
logistic,0.01,100,25,2,0.533068783068783,0.5361552028218695,0.4669312169312169,0.4638447971781305
logistic,0.01,100,26,2,0.5326278659611993,0.5343915343915344,0.4673721340388007,0.4656084656084656
logistic,0.01,100,27,2,0.533068783068783,0.5343915343915344,0.4669312169312169,0.4656084656084656
logistic,0.01,100,28,2,0.533068783068783,0.5343915343915344,0.4669312169312169,0.4656084656084656
logistic,0.01,100,29,2,0.5348324514991182,0.5343915343915344,0.4651675485008818,0.4656084656084656
logistic,0.01,100,30,2,0.5361552028218695,0.5326278659611993,0.4638447971781305,0.4673721340388007
logistic,0.01,100,31,2,0.5361552028218695,0.5291005291005291,0.4638447971781305,0.4708994708994709
logistic,0.01,100,32,2,0.5392416225749559,0.5291005291005291,0.4607583774250441,0.4708994708994709
logistic,0.01,100,33,2,0.5401234567901234,0.527336860670194,0.45987654320987653,0.47266313932980597
logistic,0.01,100,34,2,0.5401234567901234,0.5291005291005291,0.45987654320987653,0.4708994708994709
logistic,0.01,100,35,2,0.5401234567901234,0.5326278659611993,0.45987654320987653,0.4673721340388007
logistic,0.01,100,36,2,0.5396825396825397,0.5361552028218695,0.4603174603174603,0.4638447971781305
logistic,0.01,100,37,2,0.5396825396825397,0.5361552028218695,0.4603174603174603,0.4638447971781305
logistic,0.01,100,38,2,0.5401234567901234,0.5361552028218695,0.45987654320987653,0.4638447971781305
logistic,0.01,100,39,2,0.5388007054673721,0.5343915343915344,0.46119929453262787,0.4656084656084656
logistic,0.01,100,40,2,0.5388007054673721,0.5326278659611993,0.46119929453262787,0.4673721340388007
logistic,0.01,100,41,2,0.5383597883597884,0.5308641975308642,0.46164021164021163,0.4691358024691358
logistic,0.01,100,42,2,0.5392416225749559,0.5308641975308642,0.4607583774250441,0.4691358024691358
logistic,0.01,100,43,2,0.5392416225749559,0.5343915343915344,0.4607583774250441,0.4656084656084656
logistic,0.01,100,44,2,0.5418871252204586,0.5343915343915344,0.45811287477954143,0.4656084656084656
logistic,0.01,100,45,2,0.5432098765432098,0.5361552028218695,0.4567901234567901,0.4638447971781305
logistic,0.01,100,46,2,0.5427689594356261,0.5343915343915344,0.4572310405643739,0.4656084656084656
logistic,0.01,100,47,2,0.5445326278659612,0.5343915343915344,0.4554673721340388,0.4656084656084656
logistic,0.01,100,48,2,0.5454144620811288,0.5343915343915344,0.45458553791887124,0.4656084656084656
logistic,0.01,100,49,2,0.5476190476190477,0.5308641975308642,0.4523809523809524,0.4691358024691358
logistic,0.01,100,50,2,0.5480599647266314,0.5291005291005291,0.4519400352733686,0.4708994708994709
logistic,0.01,100,51,2,0.5471781305114638,0.5291005291005291,0.45282186948853614,0.4708994708994709
logistic,0.01,100,52,2,0.5454144620811288,0.5291005291005291,0.45458553791887124,0.4708994708994709
logistic,0.01,100,53,2,0.544973544973545,0.527336860670194,0.455026455026455,0.47266313932980597
logistic,0.01,100,54,2,0.5454144620811288,0.527336860670194,0.45458553791887124,0.47266313932980597
logistic,0.01,100,55,2,0.5440917107583775,0.5255731922398589,0.4559082892416226,0.47442680776014107
logistic,0.01,100,56,2,0.5440917107583775,0.5238095238095238,0.4559082892416226,0.47619047619047616
logistic,0.01,100,57,2,0.5445326278659612,0.5220458553791887,0.4554673721340388,0.47795414462081126
logistic,0.01,100,58,2,0.5436507936507936,0.5220458553791887,0.45634920634920634,0.47795414462081126
logistic,0.01,100,59,2,0.5432098765432098,0.5220458553791887,0.4567901234567901,0.47795414462081126
logistic,0.01,100,60,2,0.5436507936507936,0.5220458553791887,0.45634920634920634,0.47795414462081126
logistic,0.01,100,61,2,0.5432098765432098,0.5220458553791887,0.4567901234567901,0.47795414462081126
logistic,0.01,100,62,2,0.5432098765432098,0.5220458553791887,0.4567901234567901,0.47795414462081126
logistic,0.01,100,63,2,0.5432098765432098,0.5220458553791887,0.4567901234567901,0.47795414462081126
logistic,0.01,100,64,2,0.5436507936507936,0.5238095238095238,0.45634920634920634,0.47619047619047616
logistic,0.01,100,65,2,0.5440917107583775,0.5238095238095238,0.4559082892416226,0.47619047619047616
logistic,0.01,100,66,2,0.5440917107583775,0.5238095238095238,0.4559082892416226,0.47619047619047616
logistic,0.01,100,67,2,0.5445326278659612,0.5255731922398589,0.4554673721340388,0.47442680776014107
logistic,0.01,100,68,2,0.5445326278659612,0.527336860670194,0.4554673721340388,0.47266313932980597
